IP_INFO,STATUS_CONF,COUNTRY,PL_NAME,Access Time
195.54.160.149,validated,RU,OOO Network of data-centers Selectel,3
45.155.205.233,validated,RU,OOO Network of data-centers Selectel,3
167.71.13.196,validated,NL,DIGITALOCEAN-ASN,2
45.146.164.160,validated,RU,OOO Network of data-centers Selectel,2
34.65.121.142,validated,CH,GOOGLE-CLOUD-PLATFORM,3
195.251.41.139,validated,GR,National Infrastructures for Research and Technology S.A.,3
191.232.38.25,validated,BR,MICROSOFT-CORP-MSN-AS-BLOCK,2
139.59.70.139,validated,IN,DIGITALOCEAN-ASN,2
167.172.44.255,validated,NL,DIGITALOCEAN-ASN,3
143.244.156.104,validated,US,DIGITALOCEAN-ASN,3
34.80.118.173,validated,TW,GOOGLE-CLOUD-PLATFORM,2
157.245.108.125,validated,IN,DIGITALOCEAN-ASN,3
164.52.53.163,validated,SG,CDSC-AS1,2
170.210.45.163,validated,AR,Red de Interconexion Universitaria,2
112.74.52.90,validated,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",2
211.154.194.21,validated,CN,China Unicom Beijing Province Network,1
167.71.175.10,validated,US,DIGITALOCEAN-ASN,1
51.105.55.17,validated,GB,MICROSOFT-CORP-MSN-AS-BLOCK,2
221.199.187.100,validated,CN,CHINA UNICOM China169 Backbone,3
121.4.56.143,validated,CN,Shenzhen Tencent Computer Systems Company Limited,1
81.30.157.43,validated,DE,myLoc managed IT AG,3
128.90.61.199,validated,SA,PHMGMT-AS1,1
223.111.180.119,validated,CN,China Mobile communications corporation,2
13.72.102.159,validated,US,MICROSOFT-CORP-MSN-AS-BLOCK,3
20.71.156.146,validated,NL,MICROSOFT-CORP-MSN-AS-BLOCK,3
61.19.24.122,validated,TH,"The Communication Authoity of Thailand, CAT",1
194.48.199.78,validated,PL,Riviera Telecom Ltd,2
61.19.25.207,validated,TH,"The Communication Authoity of Thailand, CAT",1
104.248.144.120,validated,SG,DIGITALOCEAN-ASN,2
175.6.210.66,validated,CN,Hengyang,3
178.176.202.121,validated,RU,PJSC MegaFon,2
198.58.104.209,validated,US,"Linode, LLC",1
45.56.80.11,validated,US,"Linode, LLC",1
89.249.63.3,validated,RU,Uzbektelekom Joint Stock Company,1
1.116.59.211,validated,CN,Shenzhen Tencent Computer Systems Company Limited,1
5.157.38.50,validated,SE,Inter Connects Inc,3
79.172.212.132,validated,HU,SzerverPlex.hu KFT.,1
146.56.131.161,validated,KR,ORACLE-BMC-31898,3
188.166.170.135,validated,GB,DIGITALOCEAN-ASN,1
45.137.21.9,validated,BD,RootLayer Web Services Ltd.,2
60.31.180.149,validated,CN,CHINA UNICOM China169 Backbone,2
108.61.210.108,validated,DE,AS-CHOOPA,1
194.195.246.88,validated,DE,"Linode, LLC",1
194.195.244.78,validated,DE,"Linode, LLC",3
138.197.9.239,validated,US,DIGITALOCEAN-ASN,3
173.249.19.100,validated,DE,Contabo GmbH,2
194.195.244.207,validated,DE,"Linode, LLC",3
194.233.164.103,validated,DE,"Linode, LLC",3
194.233.164.99,validated,DE,"Linode, LLC",2
68.183.35.171,validated,GB,DIGITALOCEAN-ASN,2
147.182.216.21,validated,US,DIGITALOCEAN-ASN,3
23.168.193.26,validated,US,WEBLINE19,3
161.35.119.60,validated,US,DIGITALOCEAN-ASN,1
138.197.72.76,validated,US,DIGITALOCEAN-ASN,1
139.59.103.254,validated,SG,DIGITALOCEAN-ASN,1
159.223.42.182,validated,SG,DIGITALOCEAN-ASN,2
167.99.36.245,validated,NL,DIGITALOCEAN-ASN,2
195.201.175.217,validated,DE,Hetzner Online GmbH,1
103.103.0.142,validated,PH,"IP-Converge Data Center, Inc.",1
197.246.171.83,validated,EG,Noor Data Networks,3
128.199.222.221,validated,SG,DIGITALOCEAN-ASN,1
150.158.189.96,validated,CN,Shenzhen Tencent Computer Systems Company Limited,1
159.65.155.208,validated,IN,DIGITALOCEAN-ASN,3
159.89.94.219,validated,US,DIGITALOCEAN-ASN,1
162.255.202.246,validated,US,FNL-33-19754,1
